tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF2	H1	9	0.6704931972789115	0.3197278911564626	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	H1	10	0.6675170068027212	0.15476190476190477	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	H1	1	0.6530612244897959	0.22467702680655838	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	H1	2	0.5889212827988338	0.1448000406622212	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}
ATF2	H1	3	0.6805497709287797	0.2872134789517764	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	H1	4	0.5526863806747189	0.02040816326530612	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}
ATF2	H1	5	0.6264056643065389	0.1861714808514273	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	H1	6	0.6430653894210745	0.20412414523193154	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}
ATF2	H1	7	0.7188671386922115	0.28625128703833574	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	H1	8	0.676176593086214	0.28867513459481287	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	H1	9	0.5712159863945578	0.09237981139756958	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	H1	10	0.6245748299319728	0.13512405658958346	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	HepG2	1	0.8760060986419884	0.6294877940929103	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	HepG2	2	0.8475162216785449	0.5302193758709793	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
